"Hello world";"Hello world"
"Hello World";"Hello World"
"Goodbye world";"Goodbye world"
"Email Goodbyes";"Email Goodbyes"
"Do you want to send a goodbye email to users deleting their user account?";"Do you want to send a goodbye email to users deleting their user account?"
"Save Changes";"Save Changes"
"Settings saved";"Settings saved"

"Thank you for being a part of our community.  Our world will be that much smaller without you.";"Thank you for being a part of our community.  Our world will be that much smaller without you."
"Create Hello World";"Create Hello World"
"You can create a message to say hello to the world here!";"You can create a message to say hello to the world here!"
"Message";"Message"
"Add a Photo!";"Add a Photo!"
"Hello World; the skeleton module";"Hello World; the skeleton module"

